legacy_row,card_id,date,sport_family,sport_raw,match,competition,market_group,rank,option,line,stated_probability,status,binary_outcome,brier_component,exact_complement_selection,probability_bucket,bucket_mismatch,settlement_source,settlement_has_url,potential_post_event_input,eligible_for_v3_evaluation,exclusion_reason,audit_note
231,KBO-20260619-DOO-LG,2026-06-19,Baseball,Baseball/KBO,Doosan Bears @ LG Twins,KBO regular season,"LG +1.5, Doosan +0.5, full-game total 8.5",3,Doosan Bears +0.5 / avoid loss,Doosan +0.5,0.52,L,0,0.27040000000000003,false,50-59,false,MyKBO final game page checked 2026-06-20 18:02 AEST; unofficial but detailed final line/box/play log,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error
232,KBO-20260619-DOO-LG,2026-06-19,Baseball,Baseball/KBO,Doosan Bears @ LG Twins,KBO regular season,"LG +1.5, Doosan +0.5, full-game total 8.5",4,Combined Total Over 8.5 runs,Over 8.5,0.44,L,0,0.1936,true,40-49,false,MyKBO final game page checked 2026-06-20 18:02 AEST; unofficial but detailed final line/box/play log,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
233,BKB-NZNBL-20260620-AKL-HBH,2026-06-20,Basketball,Basketball/NZNBL,Auckland Tuatara vs Hawke's Bay Hawks,New Zealand NBL regular season,"Tuatara -15.5, Hawks +15.5, full total 184.5, 1H total 92.5",1,Auckland Tuatara -15.5,-15.5,0.56,L,0,0.31360000000000005,true,50-59,false,Sofascore final and quarter table; NZNBL recap/search result checked 2026-06-20 18:02 AEST,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; rank_error; potential_post_event_input_text; exact_complement_selection
234,BKB-NZNBL-20260620-AKL-HBH,2026-06-20,Basketball,Basketball/NZNBL,Auckland Tuatara vs Hawke's Bay Hawks,New Zealand NBL regular season,"Tuatara -15.5, Hawks +15.5, full total 184.5, 1H total 92.5",2,Combined Total Under 184.5,Under 184.5,0.53,W,1,0.22089999999999999,true,50-59,false,Sofascore final and quarter table; NZNBL recap/search result checked 2026-06-20 18:02 AEST,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text; exact_complement_selection
235,BKB-NZNBL-20260620-AKL-HBH,2026-06-20,Basketball,Basketball/NZNBL,Auckland Tuatara vs Hawke's Bay Hawks,New Zealand NBL regular season,"Tuatara -15.5, Hawks +15.5, full total 184.5, 1H total 92.5",3,Combined 1st Half Total Under 92.5,1H Under 92.5,0.51,W,1,0.24009999999999998,true,50-59,false,Sofascore final and quarter table; NZNBL recap/search result checked 2026-06-20 18:02 AEST,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text; exact_complement_selection
236,BKB-NZNBL-20260620-AKL-HBH,2026-06-20,Basketball,Basketball/NZNBL,Auckland Tuatara vs Hawke's Bay Hawks,New Zealand NBL regular season,"Tuatara -15.5, Hawks +15.5, full total 184.5, 1H total 92.5",4,Combined 1st Half Total Over 92.5,1H Over 92.5,0.49,L,0,0.24009999999999998,true,40-49,false,Sofascore final and quarter table; NZNBL recap/search result checked 2026-06-20 18:02 AEST,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text; exact_complement_selection
237,BKB-NZNBL-20260620-AKL-HBH,2026-06-20,Basketball,Basketball/NZNBL,Auckland Tuatara vs Hawke's Bay Hawks,New Zealand NBL regular season,"Tuatara -15.5, Hawks +15.5, full total 184.5, 1H total 92.5",5,Combined Total Over 184.5,Over 184.5,0.47,L,0,0.22089999999999999,true,40-49,false,Sofascore final and quarter table; NZNBL recap/search result checked 2026-06-20 18:02 AEST,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text; exact_complement_selection
238,BKB-NZNBL-20260620-AKL-HBH,2026-06-20,Basketball,Basketball/NZNBL,Auckland Tuatara vs Hawke's Bay Hawks,New Zealand NBL regular season,"Tuatara -15.5, Hawks +15.5, full total 184.5, 1H total 92.5",6,Hawke's Bay Hawks +15.5,+15.5,0.44,W,1,0.31360000000000005,true,40-49,false,Sofascore final and quarter table; NZNBL recap/search result checked 2026-06-20 18:02 AEST,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; rank_error; potential_post_event_input_text; exact_complement_selection
239,BASE-NPB-20260620-SEI-ORI,2026-06-20,Baseball,Baseball/NPB,Saitama Seibu Lions @ ORIX Buffaloes,NPB Pacific League regular season,"Buffaloes +1.5, Lions +0.5, full-game total 6.5",1,Buffaloes +1.5,+1.5,0.63,L,0,0.39690000000000003,false,60-69,false,Sofascore final and inning line checked 2026-06-20 18:02 AEST,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; rank_error; potential_post_event_input_text
240,BASE-NPB-20260620-SEI-ORI,2026-06-20,Baseball,Baseball/NPB,Saitama Seibu Lions @ ORIX Buffaloes,NPB Pacific League regular season,"Buffaloes +1.5, Lions +0.5, full-game total 6.5",2,Lions +0.5 / avoid loss,Seibu +0.5,0.57,W,1,0.18490000000000004,false,50-59,false,Sofascore final and inning line checked 2026-06-20 18:02 AEST,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,rank_error; potential_post_event_input_text
241,BASE-NPB-20260620-SEI-ORI,2026-06-20,Baseball,Baseball/NPB,Saitama Seibu Lions @ ORIX Buffaloes,NPB Pacific League regular season,"Buffaloes +1.5, Lions +0.5, full-game total 6.5",3,Combined Total Under 6.5 runs,Under 6.5,0.52,W,1,0.2304,true,50-59,false,Sofascore final and inning line checked 2026-06-20 18:02 AEST,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text; exact_complement_selection
242,BASE-NPB-20260620-SEI-ORI,2026-06-20,Baseball,Baseball/NPB,Saitama Seibu Lions @ ORIX Buffaloes,NPB Pacific League regular season,"Buffaloes +1.5, Lions +0.5, full-game total 6.5",4,Combined Total Over 6.5 runs,Over 6.5,0.48,L,0,0.2304,true,40-49,false,Sofascore final and inning line checked 2026-06-20 18:02 AEST,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text; exact_complement_selection
243,SOC-WC2026-20260620-TUR-PAR,2026-06-20,Soccer,Soccer/FIFA World Cup,Turkiye vs Paraguay,FIFA World Cup 2026 Group D,1H Over/Under 0.5 and full-game Over/Under 2.5,1,Combined 1H Goals Over 0.5,1H Over 0.5,0.6,W,1,0.16000000000000003,true,60-69,false,ESPN final score and FOX box/play-by-play checked 2026-06-20 18:02 AEST,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text; exact_complement_selection
244,SOC-WC2026-20260620-TUR-PAR,2026-06-20,Soccer,Soccer/FIFA World Cup,Turkiye vs Paraguay,FIFA World Cup 2026 Group D,1H Over/Under 0.5 and full-game Over/Under 2.5,2,Combined Total Goals Over 2.5,Over 2.5,0.53,L,0,0.28090000000000004,true,50-59,false,ESPN final score and FOX box/play-by-play checked 2026-06-20 18:02 AEST,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; rank_error; potential_post_event_input_text; exact_complement_selection
245,SOC-WC2026-20260620-TUR-PAR,2026-06-20,Soccer,Soccer/FIFA World Cup,Turkiye vs Paraguay,FIFA World Cup 2026 Group D,1H Over/Under 0.5 and full-game Over/Under 2.5,3,Combined Total Goals Under 2.5,Under 2.5,0.47,W,1,0.28090000000000004,true,40-49,false,ESPN final score and FOX box/play-by-play checked 2026-06-20 18:02 AEST,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,rank_error; potential_post_event_input_text; exact_complement_selection
246,SOC-WC2026-20260620-TUR-PAR,2026-06-20,Soccer,Soccer/FIFA World Cup,Turkiye vs Paraguay,FIFA World Cup 2026 Group D,1H Over/Under 0.5 and full-game Over/Under 2.5,4,Combined 1H Goals Under 0.5,1H Under 0.5,0.4,L,0,0.16000000000000003,true,40-49,false,ESPN final score and FOX box/play-by-play checked 2026-06-20 18:02 AEST,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text; exact_complement_selection
247,CRIC-WT20WC-20260620-AUSW-NEDW,2026-06-20,Cricket,Cricket/WT20I,Australia Women vs Netherlands Women,ICC Women's T20 World Cup 2026 Group A,Australia 1st innings full total 197.5 and powerplay total 56.5,1,Australia 1st innings 20 overs Under 197.5 runs,Under 197.5,0.61,L,0,0.3721,true,60-69,false,Cricbuzz scorecard checked 2026-06-20 21:12 AEST,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; rank_error; potential_post_event_input_text; exact_complement_selection
248,CRIC-WT20WC-20260620-AUSW-NEDW,2026-06-20,Cricket,Cricket/WT20I,Australia Women vs Netherlands Women,ICC Women's T20 World Cup 2026 Group A,Australia 1st innings full total 197.5 and powerplay total 56.5,2,Australia 1st innings 6 overs Over 56.5 runs,Over 56.5,0.54,W,1,0.21159999999999995,true,50-59,false,Cricbuzz scorecard checked 2026-06-20 21:12 AEST,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; rank_error; potential_post_event_input_text; exact_complement_selection
249,CRIC-WT20WC-20260620-AUSW-NEDW,2026-06-20,Cricket,Cricket/WT20I,Australia Women vs Netherlands Women,ICC Women's T20 World Cup 2026 Group A,Australia 1st innings full total 197.5 and powerplay total 56.5,3,Australia 1st innings 6 overs Under 56.5 runs,Under 56.5,0.46,L,0,0.2116,true,40-49,false,Cricbuzz scorecard checked 2026-06-20 21:12 AEST,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; rank_error; potential_post_event_input_text; exact_complement_selection
250,CRIC-WT20WC-20260620-AUSW-NEDW,2026-06-20,Cricket,Cricket/WT20I,Australia Women vs Netherlands Women,ICC Women's T20 World Cup 2026 Group A,Australia 1st innings full total 197.5 and powerplay total 56.5,4,Australia 1st innings 20 overs Over 197.5 runs,Over 197.5,0.39,W,1,0.3721,true,30-39,false,Cricbuzz scorecard checked 2026-06-20 21:12 AEST,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; rank_error; potential_post_event_input_text; exact_complement_selection
251,CRIC-WT20WC-20260620-PAKW-BANW,2026-06-20,Cricket,Cricket/WT20I,Pakistan Women vs Bangladesh Women,ICC Women's T20 World Cup 2026 Group A,Bangladesh innings full total 133.5 and powerplay total 38.5,1,Bangladesh 1st innings 20 overs Under 133.5 runs,Under 133.5,0.56,W,1,0.19359999999999997,true,50-59,false,Cricbuzz scorecard checked 2026-06-21 02:45 AEST,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text; exact_complement_selection
252,CRIC-WT20WC-20260620-PAKW-BANW,2026-06-20,Cricket,Cricket/WT20I,Pakistan Women vs Bangladesh Women,ICC Women's T20 World Cup 2026 Group A,Bangladesh innings full total 133.5 and powerplay total 38.5,2,Bangladesh 1st innings 6 overs Under 38.5 runs,Under 38.5,0.52,W,1,0.2304,true,50-59,false,Cricbuzz scorecard checked 2026-06-21 02:45 AEST,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text; exact_complement_selection
253,CRIC-WT20WC-20260620-PAKW-BANW,2026-06-20,Cricket,Cricket/WT20I,Pakistan Women vs Bangladesh Women,ICC Women's T20 World Cup 2026 Group A,Bangladesh innings full total 133.5 and powerplay total 38.5,3,Bangladesh 1st innings 6 overs Over 38.5 runs,Over 38.5,0.48,L,0,0.2304,true,40-49,false,Cricbuzz scorecard checked 2026-06-21 02:45 AEST,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text; exact_complement_selection
254,CRIC-WT20WC-20260620-PAKW-BANW,2026-06-20,Cricket,Cricket/WT20I,Pakistan Women vs Bangladesh Women,ICC Women's T20 World Cup 2026 Group A,Bangladesh innings full total 133.5 and powerplay total 38.5,4,Bangladesh 1st innings 20 overs Over 133.5 runs,Over 133.5,0.44,L,0,0.1936,true,40-49,false,Cricbuzz scorecard checked 2026-06-21 02:45 AEST,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text; exact_complement_selection
255,AFL-20260620-GWS-CARL,2026-06-20,Australian football,AFL,GWS Giants vs Carlton,AFL Round 15,"Giants -21.5, Carlton +21.5, total 184.5",1,Carlton +21.5,+21.5,0.6,W,1,0.16000000000000003,true,60-69,false,AFL/ESPN/Fox final checked 2026-06-21,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text; exact_complement_selection
256,AFL-20260620-GWS-CARL,2026-06-20,Australian football,AFL,GWS Giants vs Carlton,AFL Round 15,"Giants -21.5, Carlton +21.5, total 184.5",2,Combined Total Under 184.5,Under 184.5,0.55,W,1,0.20249999999999996,true,50-59,false,AFL/ESPN/Fox final checked 2026-06-21,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text; exact_complement_selection
257,AFL-20260620-GWS-CARL,2026-06-20,Australian football,AFL,GWS Giants vs Carlton,AFL Round 15,"Giants -21.5, Carlton +21.5, total 184.5",3,Combined Total Over 184.5,Over 184.5,0.45,L,0,0.2025,true,40-49,false,AFL/ESPN/Fox final checked 2026-06-21,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text; exact_complement_selection
258,AFL-20260620-GWS-CARL,2026-06-20,Australian football,AFL,GWS Giants vs Carlton,AFL Round 15,"Giants -21.5, Carlton +21.5, total 184.5",4,Giants -21.5,-21.5,0.4,L,0,0.16000000000000003,true,40-49,false,AFL/ESPN/Fox final checked 2026-06-21,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; potential_post_event_input_text; exact_complement_selection
259,BKB-NZNBL-20260620-OTA-TAR,2026-06-20,Basketball,Basketball/NZNBL,Otago Nuggets vs Taranaki Airs,New Zealand NBL regular season,"Nuggets -4.5, Airs +4.5, total 173.5, 1H 86.5",1,Taranaki Airs +4.5,+4.5,0.61,W,1,0.1521,true,60-69,false,Sofascore/NZNBL final checked 2026-06-21,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text; exact_complement_selection
260,BKB-NZNBL-20260620-OTA-TAR,2026-06-20,Basketball,Basketball/NZNBL,Otago Nuggets vs Taranaki Airs,New Zealand NBL regular season,"Nuggets -4.5, Airs +4.5, total 173.5, 1H 86.5",2,Combined 1st Half Total Under 86.5,Under 86.5,0.58,L,0,0.3364,false,50-59,false,Sofascore/NZNBL final checked 2026-06-21,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; rank_error; potential_post_event_input_text
261,BKB-NZNBL-20260620-OTA-TAR,2026-06-20,Basketball,Basketball/NZNBL,Otago Nuggets vs Taranaki Airs,New Zealand NBL regular season,"Nuggets -4.5, Airs +4.5, total 173.5, 1H 86.5",3,Combined Total Under 173.5,Under 173.5,0.54,L,0,0.2916,false,50-59,false,Sofascore/NZNBL final checked 2026-06-21,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; rank_error; potential_post_event_input_text
262,BKB-NZNBL-20260620-OTA-TAR,2026-06-20,Basketball,Basketball/NZNBL,Otago Nuggets vs Taranaki Airs,New Zealand NBL regular season,"Nuggets -4.5, Airs +4.5, total 173.5, 1H 86.5",4,Otago Nuggets -4.5,-4.5,0.39,L,0,0.1521,true,30-39,false,Sofascore/NZNBL final checked 2026-06-21,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text; exact_complement_selection
263,CRIC-ODI-20260620-AFG-IND,2026-06-20,Cricket,Cricket/ODI,Afghanistan vs India,"Afghanistan tour of India 2026, 3rd ODI",Afghanistan first 5 overs 25.5 and full innings 276.5,1,Afghanistan first 5 overs Over 25.5,Over 25.5,0.59,U,,,true,50-59,false,Cricbuzz/ESPN scorecard checked 2026-06-21,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text; exact_complement_selection
264,CRIC-ODI-20260620-AFG-IND,2026-06-20,Cricket,Cricket/ODI,Afghanistan vs India,"Afghanistan tour of India 2026, 3rd ODI",Afghanistan first 5 overs 25.5 and full innings 276.5,2,Afghanistan 50 overs Over 276.5,Over 276.5,0.54,L,0,0.2916,true,50-59,false,Cricbuzz/ESPN scorecard checked 2026-06-21,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; rank_error; potential_post_event_input_text; exact_complement_selection
265,CRIC-ODI-20260620-AFG-IND,2026-06-20,Cricket,Cricket/ODI,Afghanistan vs India,"Afghanistan tour of India 2026, 3rd ODI",Afghanistan first 5 overs 25.5 and full innings 276.5,3,Afghanistan 50 overs Under 276.5,Under 276.5,0.46,W,1,0.2916,true,40-49,false,Cricbuzz/ESPN scorecard checked 2026-06-21,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; rank_error; potential_post_event_input_text; exact_complement_selection
266,CRIC-ODI-20260620-AFG-IND,2026-06-20,Cricket,Cricket/ODI,Afghanistan vs India,"Afghanistan tour of India 2026, 3rd ODI",Afghanistan first 5 overs 25.5 and full innings 276.5,4,Afghanistan first 5 overs Under 25.5,Under 25.5,0.41,U,,,true,40-49,false,Cricbuzz/ESPN scorecard checked 2026-06-21,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text; exact_complement_selection
267,SOC-WC2026-20260621-NED-SWE,2026-06-21,Soccer,Soccer/FIFA World Cup,Netherlands vs Sweden,FIFA World Cup 2026 Group F,1H goals 0.5 and full total 2.5,1,Combined 1H Goals Over 0.5,1H Over 0.5,0.62,W,1,0.1444,true,60-69,false,Sky/Guardian/Fox final checked 2026-06-21,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text; exact_complement_selection
268,SOC-WC2026-20260621-NED-SWE,2026-06-21,Soccer,Soccer/FIFA World Cup,Netherlands vs Sweden,FIFA World Cup 2026 Group F,1H goals 0.5 and full total 2.5,2,Combined Total Goals Over 2.5,Over 2.5,0.57,W,1,0.18490000000000004,true,50-59,false,Sky/Guardian/Fox final checked 2026-06-21,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text; exact_complement_selection
269,SOC-WC2026-20260621-NED-SWE,2026-06-21,Soccer,Soccer/FIFA World Cup,Netherlands vs Sweden,FIFA World Cup 2026 Group F,1H goals 0.5 and full total 2.5,3,Combined Total Goals Under 2.5,Under 2.5,0.43,L,0,0.18489999999999998,true,40-49,false,Sky/Guardian/Fox final checked 2026-06-21,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text; exact_complement_selection
270,SOC-WC2026-20260621-NED-SWE,2026-06-21,Soccer,Soccer/FIFA World Cup,Netherlands vs Sweden,FIFA World Cup 2026 Group F,1H goals 0.5 and full total 2.5,4,Combined 1H Goals Under 0.5,1H Under 0.5,0.38,L,0,0.1444,true,30-39,false,Sky/Guardian/Fox final checked 2026-06-21,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text; exact_complement_selection
271,WNBA-20260621-IND-ATL,2026-06-21,Basketball,WNBA,Indiana Fever @ Atlanta Dream,WNBA regular season,"Fever -5.5, Dream +5.5, total 175.5, 1H 89.5",1,Atlanta Dream +5.5,+5.5,0.68,W,1,0.10239999999999996,true,60-69,false,ESPN event API/final checked 2026-06-21,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text; exact_complement_selection
272,WNBA-20260621-IND-ATL,2026-06-21,Basketball,WNBA,Indiana Fever @ Atlanta Dream,WNBA regular season,"Fever -5.5, Dream +5.5, total 175.5, 1H 89.5",2,Combined Total Over 175.5,Over 175.5,0.55,W,1,0.20249999999999996,false,50-59,false,ESPN event API/final checked 2026-06-21,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text
273,WNBA-20260621-IND-ATL,2026-06-21,Basketball,WNBA,Indiana Fever @ Atlanta Dream,WNBA regular season,"Fever -5.5, Dream +5.5, total 175.5, 1H 89.5",3,Combined 1st Half Total Over 89.5,1H Over 89.5,0.52,W,1,0.2304,false,50-59,false,ESPN event API/final checked 2026-06-21,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text
274,WNBA-20260621-IND-ATL,2026-06-21,Basketball,WNBA,Indiana Fever @ Atlanta Dream,WNBA regular season,"Fever -5.5, Dream +5.5, total 175.5, 1H 89.5",4,Indiana Fever -5.5,-5.5,0.32,L,0,0.1024,true,30-39,false,ESPN event API/final checked 2026-06-21,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text; exact_complement_selection
275,CRIC-WT20WC-20260621-ENGW-SCOW,2026-06-21,Cricket,Cricket/WT20I,England Women vs Scotland Women,ICC Women's T20 World Cup 2026 Group B,England innings 184.5/84.5 and PP 51.5,1,England 1st innings 6 overs Under 51.5,Under 51.5,0.57,W,1,0.18490000000000004,true,50-59,false,Cricbuzz final scorecard checked 2026-06-21,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,source_error; potential_post_event_input_text; exact_complement_selection
276,CRIC-WT20WC-20260621-ENGW-SCOW,2026-06-21,Cricket,Cricket/WT20I,England Women vs Scotland Women,ICC Women's T20 World Cup 2026 Group B,England innings 184.5/84.5 and PP 51.5,2,England 1st innings 20 overs Over 184.5,Over 184.5,0.46,W,1,0.2916,false,40-49,false,Cricbuzz final scorecard checked 2026-06-21,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text
277,CRIC-WT20WC-20260621-ENGW-SCOW,2026-06-21,Cricket,Cricket/WT20I,England Women vs Scotland Women,ICC Women's T20 World Cup 2026 Group B,England innings 184.5/84.5 and PP 51.5,3,England 1st innings 6 overs Over 51.5,Over 51.5,0.43,L,0,0.18489999999999998,true,40-49,false,Cricbuzz final scorecard checked 2026-06-21,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text; exact_complement_selection
278,CRIC-WT20WC-20260621-ENGW-SCOW,2026-06-21,Cricket,Cricket/WT20I,England Women vs Scotland Women,ICC Women's T20 World Cup 2026 Group B,England innings 184.5/84.5 and PP 51.5,4,England 1st innings 20 overs Under 84.5,Under 84.5,0.08,L,0,0.0064,false,0-19,false,Cricbuzz final scorecard checked 2026-06-21,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text
279,MLB-20260621-TOR-CHC,2026-06-21,Baseball,MLB,Toronto Blue Jays @ Chicago Cubs,MLB regular season,"Blue Jays +1.5, Cubs +0.5, total 9.5",1,Blue Jays +1.5,+1.5,0.59,W,1,0.16810000000000003,false,50-59,false,MLB StatsAPI final checked 2026-06-21,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text
280,MLB-20260621-TOR-CHC,2026-06-21,Baseball,MLB,Toronto Blue Jays @ Chicago Cubs,MLB regular season,"Blue Jays +1.5, Cubs +0.5, total 9.5",2,Cubs +0.5 / Cubs to win,Cubs +0.5,0.57,L,0,0.32489999999999997,false,50-59,false,MLB StatsAPI final checked 2026-06-21,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; rank_error; potential_post_event_input_text
281,MLB-20260621-TOR-CHC,2026-06-21,Baseball,MLB,Toronto Blue Jays @ Chicago Cubs,MLB regular season,"Blue Jays +1.5, Cubs +0.5, total 9.5",3,Combined Total Over 9.5,Over 9.5,0.53,W,1,0.22089999999999999,true,50-59,false,MLB StatsAPI final checked 2026-06-21,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text; exact_complement_selection
282,MLB-20260621-TOR-CHC,2026-06-21,Baseball,MLB,Toronto Blue Jays @ Chicago Cubs,MLB regular season,"Blue Jays +1.5, Cubs +0.5, total 9.5",4,Combined Total Under 9.5,Under 9.5,0.47,L,0,0.22089999999999999,true,40-49,false,MLB StatsAPI final checked 2026-06-21,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text; exact_complement_selection
283,CRIC-T20I-20260621-BAN-AUS3,2026-06-21,Cricket,Cricket/T20I,Bangladesh vs Australia,"Australia tour of Bangladesh 2026, 3rd T20I",Bangladesh innings 168.5 and PP 50.5,1,Bangladesh first 6 overs Over 50.5,Over 50.5,0.58,L,0,0.3364,true,50-59,false,ESPNcricinfo/Hindustan Times/ABC checked 2026-06-22,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; rank_error; potential_post_event_input_text; exact_complement_selection
284,CRIC-T20I-20260621-BAN-AUS3,2026-06-21,Cricket,Cricket/T20I,Bangladesh vs Australia,"Australia tour of Bangladesh 2026, 3rd T20I",Bangladesh innings 168.5 and PP 50.5,2,Bangladesh 20 overs Over 168.5,Over 168.5,0.56,L,0,0.31360000000000005,true,50-59,false,ESPNcricinfo/ABC checked 2026-06-22,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; rank_error; potential_post_event_input_text; exact_complement_selection
285,CRIC-T20I-20260621-BAN-AUS3,2026-06-21,Cricket,Cricket/T20I,Bangladesh vs Australia,"Australia tour of Bangladesh 2026, 3rd T20I",Bangladesh innings 168.5 and PP 50.5,3,Bangladesh 20 overs Under 168.5,Under 168.5,0.44,W,1,0.31360000000000005,true,40-49,false,ESPNcricinfo/ABC checked 2026-06-22,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text; exact_complement_selection
286,CRIC-T20I-20260621-BAN-AUS3,2026-06-21,Cricket,Cricket/T20I,Bangladesh vs Australia,"Australia tour of Bangladesh 2026, 3rd T20I",Bangladesh innings 168.5 and PP 50.5,4,Bangladesh first 6 overs Under 50.5,Under 50.5,0.42,W,1,0.3364000000000001,true,40-49,false,ESPNcricinfo/Hindustan Times checked 2026-06-22,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; rank_error; potential_post_event_input_text; exact_complement_selection
287,KBO-20260621-KIA-KT,2026-06-21,Baseball,KBO,KIA Tigers @ KT Wiz,KBO regular season,"Tigers +1.5, Wiz ML, total 10.5",1,Combined Total Over 10.5,Over 10.5,0.57,W,1,0.18490000000000004,true,50-59,false,MyKBO final checked 2026-06-22,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text; exact_complement_selection
